precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-voturi","FORȚA DREPTEI-voturi"
30,OLT,"CĂMINUL CULTURAL",353,VĂDĂSTRIŢA,129745,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:11:17",1098,1058,0,31,9,756,716,0,31,9,720,36,1156,400,137,245,167,90,15,63,3
30,OLT,"CĂMINUL CULTURAL",354,VĂDĂSTRIŢA,129745,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:41:18",1452,1423,0,14,15,1031,1002,0,14,15,953,78,1585,554,241,300,228,93,34,42,15
