precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","FORȚA DREPTEI-voturi"
32,"SATU MARE","CASĂ DE LOCUIT MICULA NOUA",236,MICULA,138164,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:14:37",621,600,0,2,19,305,284,0,2,19,293,12,800,495,21,117,37,18,77,23
32,"SATU MARE","CENTRU CULTURAL TURISTIC",234,MICULA,138164,3,PART,PRCNCT,CL,CL_SV,"2024-06-11 21:02:59",1192,1165,3,0,24,683,659,0,0,24,654,29,1212,529,449,95,17,48,38,7
32,"SATU MARE","GRADINITA NR. II MICULA",235,MICULA,138164,3,PART,PRCNCT,CL,CL_SV,"2024-06-11 19:02:12",1484,1461,1,2,20,728,706,0,2,20,670,58,1600,872,244,127,94,176,27,2
