precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","FORȚA DREPTEI-voturi"
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ ACHIM POPESCU",329,PĂUŞEŞTI-MĂGLAŞI,172082,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:32:10",1320,1309,2,4,5,836,827,0,4,5,794,41,1440,605,67,35,2,355,279,15,41
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ ACHIM POPESCU",328,PĂUŞEŞTI-MĂGLAŞI,172082,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:20:16",1132,1119,1,8,4,733,721,0,8,4,687,32,1230,511,85,44,5,343,140,26,44
40,VÂLCEA,"ŞCOALA PRIMARĂ VALEA CHEII",330,PĂUŞEŞTI-MĂGLAŞI,172082,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:38:32",904,898,1,3,2,439,433,1,3,2,410,29,990,551,34,15,2,238,90,14,17
