precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MORAR EMANUEL-RAUL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","STĂNUŞOIU IONUŢ-PARTIDUL NAȚIONAL LIBERAL-voturi","SUCIU PATRICIU-RAFAEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","BUREAC IOAN-CIPRIAN-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","HAIAŞ EMIL COSMIN-PARTIDUL OAMENILOR TINERI-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL GHIRODA",411,GHIRODA,155289,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:39:07",1718,1694,18,5,1,937,931,0,5,1,882,55,1900,962,52,659,110,26,35
37,TIMIŞ,"CĂMINUL CULTURAL GIARMATA - VII",412,GHIRODA,155289,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:21:15",2030,2002,12,14,2,1136,1118,2,14,2,1119,17,2200,1064,74,614,321,76,34
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ GHIRODA",409,GHIRODA,155289,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:00:25",1853,1822,25,5,1,948,942,0,5,1,928,20,2000,1052,39,708,117,28,36
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ GHIRODA",410,GHIRODA,155289,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:44:00",2007,1986,7,12,2,1006,991,1,12,2,978,28,2180,1174,58,779,98,22,21
