precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
36,TELEORMAN,"CĂMINUL CULTURAL BEUCA",98,BEUCA,155092,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:48:51",971,799,1,76,95,666,495,0,76,95,644,18,875,213,314,255,16,59
36,TELEORMAN,"CĂMINUL CULTURAL PLOPI",99,BEUCA,155092,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:18:21",156,134,0,8,14,118,96,0,8,14,114,4,148,30,26,84,2,2
