precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VASILE AUREL-PARTIDUL NAȚIONAL LIBERAL-voturi","MIHAI EUGEN-PARTIDUL SOCIAL DEMOCRAT-voturi"
12,CĂLĂRAŞI,"SALA DE EDUCAȚIE FIZICĂ ȘCOLARĂ",161,JEGĂLIA,93815,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:54:52",728,685,1,9,33,522,480,0,9,33,503,19,800,278,323,180
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA NR. 1",159,JEGĂLIA,93815,3,PART,PRCNCT,P,P_SV,"2024-06-10 14:55:17",1518,1492,3,1,22,876,852,1,1,22,825,48,1600,724,489,336
12,CĂLĂRAŞI,"SCOALA PRIMARA NR. 1",160,JEGĂLIA,93815,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:35:37",1095,1085,1,0,9,604,594,1,0,9,596,8,1270,666,465,131
