precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","AGAVRILOAEI CONSTANTIN-CRISTIAN-voturi"
35,SUCEAVA,"CASA DE CULTURĂ ”PLATON PARDĂU”",116,"MUNICIPIUL VATRA DORNEI",146744,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:56:56",1187,1171,3,10,3,575,562,0,10,3,552,23,1200,625,251,191,30,21,16,27,16
35,SUCEAVA,"CASA DE CULTURĂ ”PLATON PARDĂU”",117,"MUNICIPIUL VATRA DORNEI",146744,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:28:10",893,884,1,8,0,493,485,0,8,0,481,12,1003,510,173,197,25,12,13,35,26
35,SUCEAVA,"CENTRUL SOCIAL DE PRIMIRE, ASISTARE ȘI ÎNGRIJIRE A PERSOANELOR VÂRSTNICE",123,"MUNICIPIUL VATRA DORNEI",146744,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:16:08",506,499,1,6,0,300,294,0,6,0,294,6,599,299,150,97,11,7,5,7,17
35,SUCEAVA,"COMPLEX CFR GARA MARE",128,"MUNICIPIUL VATRA DORNEI",146744,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:52:18",1083,1071,0,12,0,556,544,0,12,0,543,13,1200,644,218,188,42,11,22,32,30
35,SUCEAVA,"GRADINITA CU PROGRAM NORMAL NR.5",125,"MUNICIPIUL VATRA DORNEI",146744,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:07:45",1068,1056,1,11,0,575,564,0,11,0,558,17,1200,621,240,183,28,14,30,38,25
35,SUCEAVA,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.3 ”SCUFIȚA ROȘIE”",124,"MUNICIPIUL VATRA DORNEI",146744,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:17:45",1057,1044,0,7,6,552,539,0,7,6,535,17,1200,648,217,189,38,11,21,29,30
35,SUCEAVA,"HOTEL BRADUL",118,"MUNICIPIUL VATRA DORNEI",146744,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:50:54",801,787,4,10,0,401,391,0,10,0,389,12,900,499,146,141,21,21,17,22,21
35,SUCEAVA,"SCOALA GENERALA ARGESTRU",129,"MUNICIPIUL VATRA DORNEI",146744,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:07:02",501,490,0,10,1,284,274,0,10,0,264,20,593,309,91,111,17,10,11,11,13
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ NR.1",120,"MUNICIPIUL VATRA DORNEI",146744,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:47:48",1522,1513,0,9,0,847,838,0,9,0,822,25,1600,753,386,272,41,32,8,58,25
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ NR.1",119,"MUNICIPIUL VATRA DORNEI",146744,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:26:31",965,955,2,5,3,537,529,0,5,3,526,11,1000,463,285,134,22,17,31,25,12
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ NR.2",121,"MUNICIPIUL VATRA DORNEI",146744,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:48:03",814,809,0,5,0,435,430,0,5,0,426,9,900,374,145,163,22,17,10,33,36
35,SUCEAVA,"ȘCOALA GIMNAZIALĂ NR.2",122,"MUNICIPIUL VATRA DORNEI",146744,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:49:18",1167,1155,2,10,0,625,615,0,10,0,597,28,1198,573,247,223,22,13,16,42,34
35,SUCEAVA,"ȘCOALA PRIMARĂ NR.3",127,"MUNICIPIUL VATRA DORNEI",146744,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:27:50",780,769,0,10,1,439,428,0,10,1,418,21,987,548,165,157,21,11,20,19,25
35,SUCEAVA,"ȘCOALA PRIMARĂ NR.3",126,"MUNICIPIUL VATRA DORNEI",146744,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:21:50",998,982,2,8,6,561,547,0,8,6,545,16,1000,439,261,140,33,21,26,49,15
