precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GAVRILAŞ LEVI-AURELIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PAVEL PETRU-TRAIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","BRADEA GRIGORE-PARTIDUL SOCIAL DEMOCRAT-voturi","CIUI SIMION-COSMA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL MIREŞ",119,CHIUZA,33122,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:49:26",117,111,0,6,0,85,79,0,6,0,85,0,120,35,16,36,32,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL SĂSARM",121,CHIUZA,33122,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:26:47",569,546,1,13,9,375,353,0,13,9,343,10,575,222,34,149,137,23
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ”LIVIU REBREANU” CHIUZA",118,CHIUZA,33122,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:58:04",732,705,1,20,6,517,491,0,20,6,513,4,800,283,22,143,282,66
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ PIATRA",120,CHIUZA,33122,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:03:44",414,394,1,11,8,259,240,0,11,8,258,1,400,141,92,36,128,2
