precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CĂTĂNEA CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","MARIN MIHAELA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ŞTEFĂNESCU ILIE-MARIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","UDRESCU GRIGORE CLAUDIU-UNIUNEA SALVAȚI ROMÂNIA-voturi","DUMITRESCU GHEORGHE-voturi"
3,ARGEŞ,"CĂMIN CULTURAL BELEŢI",229,BELEŢI-NEGREŞTI,14352,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:00:49",527,517,3,0,7,392,383,2,0,7,376,13,558,169,88,27,243,15,3
3,ARGEŞ,"CĂMIN CULTURAL NEGREŞTI",230,BELEŢI-NEGREŞTI,14352,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:14:49",928,920,1,4,3,692,685,0,4,3,681,11,980,288,359,15,145,150,12
