precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŞINCAN VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","BODEANU IULIANA-ALEXANDRINA-PARTIDUL NAȚIONAL LIBERAL-voturi"
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ ”APOSTOL D. CULEA”",213,SUDIŢI,94535,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:10:57",870,834,0,18,18,660,624,0,18,18,620,22,914,272,328,292
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ ”APOSTOL D. CULEA”",212,SUDIŢI,94535,1,PROV,PRCNCT,P,P_SV,"2024-06-10 15:59:31",788,745,1,17,25,576,534,0,17,25,560,15,845,270,274,286
