precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL UNIUNEA PENTRU REFORMA STATULUI ȘI PROTECȚIA DREPTURILOR FUNDAMENTALE-voturi","ALIANȚA UNIȚI PENTRU BRAȘOV-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","GRIGORESCU OVIDIU-DAN-voturi"
8,BRAŞOV,"COLEGIUL NAŢIONAL ECONOMIC ”ANDREI BÂRSEANU”",136,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:59:24",1110,1099,0,11,0,522,511,0,11,0,502,20,1200,678,33,194,45,4,7,181,3,2,16,3,14
8,BRAŞOV,"COLEGIUL NAŢIONAL ECONOMIC ”ANDREI BÂRSEANU”",135,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:56:16",923,912,7,4,0,451,447,0,4,0,436,15,1000,549,34,157,32,5,12,168,1,2,8,0,17
8,BRAŞOV,"COLEGIUL NAŢIONAL ECONOMIC ”ANDREI BÂRSEANU”",138,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:55:38",1259,1242,1,16,0,540,524,0,16,0,513,27,1400,860,46,216,54,5,3,156,2,4,10,7,10
8,BRAŞOV,"COLEGIUL NAŢIONAL ECONOMIC ”ANDREI BÂRSEANU”",137,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:50:59",1107,1091,3,12,1,543,530,0,12,1,529,14,1200,657,41,189,39,2,12,215,3,3,6,3,16
8,BRAŞOV,"COLEGIUL NAŢIONAL ”UNIREA”",13,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:55:46",1218,1190,14,13,1,519,503,2,13,1,496,23,1300,781,37,179,29,3,13,208,0,0,10,0,17
8,BRAŞOV,"COLEGIUL NAŢIONAL ”UNIREA”",12,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:16:38",808,795,8,5,0,391,386,0,5,0,381,10,900,509,30,129,16,2,16,165,1,0,9,4,9
8,BRAŞOV,"COLEGIUL ”NICOLAE TITULESCU”",168,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:14:56",1370,1361,1,8,0,493,485,0,8,0,445,48,1500,1007,77,215,5,3,3,99,5,1,27,1,9
8,BRAŞOV,"COLEGIUL ”NICOLAE TITULESCU”",169,"MUNICIPIUL BRAŞOV",40198,3,PART,PRCNCT,CL,CL_SV,"2024-06-13 18:23:03",1291,1280,0,11,0,538,527,0,11,0,517,10,1400,853,41,252,15,2,7,145,4,0,27,3,21
8,BRAŞOV,"COLEGIUL ”NICOLAE TITULESCU”",173,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:42:50",1268,1264,0,4,0,457,453,0,4,0,435,22,1400,943,45,240,6,9,11,94,2,0,12,2,14
8,BRAŞOV,"COLEGIUL ”NICOLAE TITULESCU”",171,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:35:51",1229,1219,4,6,0,509,503,0,6,0,488,21,1400,891,51,248,7,4,8,130,4,1,21,6,8
8,BRAŞOV,"COLEGIUL ”NICOLAE TITULESCU”",172,"MUNICIPIUL BRAŞOV",40198,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:38:19",1472,1459,4,9,0,654,645,0,9,0,620,34,1600,946,65,312,9,5,9,176,6,0,18,4,16
8,BRAŞOV,"COLEGIUL ”NICOLAE TITULESCU”",170,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:02:24",1245,1240,0,5,0,516,511,0,5,0,485,31,1400,884,47,271,19,3,6,108,3,1,14,1,12
8,BRAŞOV,"COLEGIUL TEHNIC DE TRANSPORTURI",179,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:16:03",1168,1164,0,3,1,507,503,0,3,1,491,7,1300,802,50,258,2,9,6,128,3,2,20,2,11
8,BRAŞOV,"COLEGIUL TEHNIC DE TRANSPORTURI",180,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:40:25",1487,1482,0,5,0,671,666,0,5,0,647,24,1600,929,60,342,6,13,8,152,5,8,26,2,25
8,BRAŞOV,"COLEGIUL TEHNIC DE TRANSPORTURI",178,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:50:57",663,659,1,3,0,259,256,0,3,0,247,12,800,541,31,127,5,2,1,60,0,1,11,3,6
8,BRAŞOV,"COLEGIUL TEHNIC ”MARIA BAIULESCU”",7,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:26:17",1172,1150,10,8,4,503,491,0,8,4,483,20,1300,797,32,156,31,1,12,197,3,2,23,6,20
8,BRAŞOV,"COLEGIUL TEHNIC ”MARIA BAIULESCU”",8,"MUNICIPIUL BRAŞOV",40198,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:47:15",1310,1281,24,5,0,524,519,0,5,0,505,19,1400,876,32,188,44,5,11,187,2,2,15,0,19
8,BRAŞOV,"COLEGIUL TEHNIC ”REMUS RĂDULEŢ”",188,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:46:55",925,919,1,5,0,395,390,0,5,0,375,15,1000,610,28,233,10,0,2,78,1,1,12,2,8
8,BRAŞOV,"COLEGIUL TEHNIC ”REMUS RĂDULEŢ”",184,"MUNICIPIUL BRAŞOV",40198,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:41:20",499,494,1,4,0,203,199,0,4,0,193,10,600,397,15,95,9,2,0,56,0,0,8,2,6
8,BRAŞOV,"COLEGIUL TEHNIC ”REMUS RĂDULEŢ”",187,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:26:22",1002,995,1,5,1,422,416,0,5,1,409,13,1100,678,43,240,7,5,3,80,4,1,16,0,10
8,BRAŞOV,"COLEGIUL TEHNIC ”REMUS RĂDULEŢ”",186,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:05:06",1023,1016,0,7,0,393,386,0,7,0,373,20,1100,707,46,192,12,2,6,87,4,0,14,3,7
8,BRAŞOV,"COLEGIUL TEHNIC ”REMUS RĂDULEŢ”",185,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:32:56",946,936,1,9,0,395,386,0,9,0,359,36,1149,641,50,183,14,3,6,74,2,1,15,3,8
8,BRAŞOV,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”CASUTA BUCURIEI” NR. 11",30,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:10:40",851,841,1,8,1,380,371,0,8,1,368,12,1000,620,28,145,23,1,9,123,1,1,14,4,19
8,BRAŞOV,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”CASUTA BUCURIEI” NR. 11",31,"MUNICIPIUL BRAŞOV",40198,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:32:40",818,812,0,6,0,412,406,0,6,0,384,28,900,488,32,139,39,2,4,134,2,0,9,3,20
8,BRAŞOV,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 2",3,"MUNICIPIUL BRAŞOV",40198,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:08:13",920,915,0,5,0,443,438,0,5,0,438,5,1000,557,19,160,19,1,12,172,6,6,13,5,25
8,BRAŞOV,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 2",4,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:37:18",1177,1150,22,5,0,576,570,1,5,0,559,17,1300,724,38,145,54,8,14,268,1,2,14,1,14
8,BRAŞOV,"LICEUL ”ANDREI MUREŞANU”",6,"MUNICIPIUL BRAŞOV",40198,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:25:34",1370,1327,22,6,15,615,595,0,6,14,598,16,1500,886,44,187,47,5,14,261,1,7,15,1,16
8,BRAŞOV,"LICEUL ”ANDREI MUREŞANU”",5,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:38:23",1338,1294,12,12,20,664,631,1,12,20,651,13,1400,736,46,210,37,9,12,266,5,15,21,10,20
8,BRAŞOV,"LICEUL CU PROGRAM SPORTIV",121,"MUNICIPIUL BRAŞOV",40198,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:52:18",1167,1159,2,6,0,546,540,0,6,0,524,21,1300,754,45,228,34,7,6,172,3,2,13,1,13
8,BRAŞOV,"LICEUL CU PROGRAM SPORTIV",122,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:39:42",1347,1339,3,5,0,601,596,0,5,0,580,21,1500,899,54,268,24,7,2,184,2,1,15,2,21
8,BRAŞOV,"LICEUL CU PROGRAM SPORTIV",123,"MUNICIPIUL BRAŞOV",40198,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:51:43",1312,1307,2,3,0,581,578,0,3,0,560,21,1500,919,44,234,22,6,6,198,3,3,19,4,21
8,BRAŞOV,"LICEUL CU PROGRAM SPORTIV",120,"MUNICIPIUL BRAŞOV",40198,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:09:35",999,993,4,2,0,433,431,0,2,0,419,14,1100,667,41,151,23,3,4,172,2,0,10,1,12
8,BRAŞOV,"LICEUL CU PROGRAM SPORTIV",119,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:30:51",1413,1407,0,6,0,729,723,0,6,0,693,36,1600,871,36,304,45,5,11,236,0,2,16,5,33
8,BRAŞOV,"LICEUL DE ARTE PLASTICE „HANS MATTIS-TEUTSCH”",70,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:04:48",1227,1209,4,14,0,615,601,0,14,0,591,24,1300,685,49,197,31,4,13,251,1,2,15,5,23
8,BRAŞOV,"LICEUL DE ARTE PLASTICE „HANS MATTIS-TEUTSCH”",72,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:42:01",1395,1387,3,5,0,681,675,1,5,0,647,34,1500,819,44,243,35,4,6,270,3,2,20,2,18
8,BRAŞOV,"LICEUL DE ARTE PLASTICE „HANS MATTIS-TEUTSCH”",71,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:17:48",1552,1537,4,10,1,695,684,0,10,1,669,26,1700,1005,54,263,23,5,13,261,4,2,22,4,18
8,BRAŞOV,"LICEUL DE MUZICĂ ”TUDOR CIORTEA”",27,"MUNICIPIUL BRAŞOV",40198,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:49:57",1245,1210,16,10,9,599,580,0,10,9,573,22,1300,705,49,165,36,2,13,272,0,0,6,4,26
8,BRAŞOV,"LICEUL TEHNOLOGIC SILVIC ”DOCTOR NICOLAE RUCĂREANU”",100,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:54:58",1366,1355,5,6,0,617,611,0,6,0,593,24,3000,2383,55,249,25,5,11,198,2,2,15,2,29
8,BRAŞOV,"LICEUL TEHNOLOGIC SILVIC ”DOCTOR NICOLAE RUCĂREANU”",98,"MUNICIPIUL BRAŞOV",40198,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:58:47",1270,1260,1,8,1,584,575,0,8,1,561,23,1400,816,39,216,18,6,4,227,3,3,22,4,19
8,BRAŞOV,"LICEUL TEHNOLOGIC SILVIC ”DOCTOR NICOLAE RUCĂREANU”",97,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:46:26",1009,997,6,5,1,452,446,0,5,1,435,17,1100,648,35,172,20,0,8,156,2,9,13,5,15
8,BRAŞOV,"LICEUL TEHNOLOGIC SILVIC ”DOCTOR NICOLAE RUCĂREANU”",99,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:14:18",848,845,0,3,0,388,385,0,3,0,374,14,1000,612,22,169,20,4,2,126,0,7,7,2,15
8,BRAŞOV,"ȘCOALĂ GENERALĂ NR. 11 ȘTEFAN OCTAVIAN IOSIF",58,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:47:06",1266,1261,1,4,0,558,554,0,4,0,526,32,1400,842,56,225,34,5,8,158,3,1,12,2,22
8,BRAŞOV,"ȘCOALĂ GENERALĂ NR. 11 ȘTEFAN OCTAVIAN IOSIF",59,"MUNICIPIUL BRAŞOV",40198,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:15:08",1042,1034,2,6,0,511,505,0,6,0,484,27,1200,689,30,190,27,7,8,168,1,5,21,2,25
8,BRAŞOV,"ȘCOALĂ GENERALĂ NR. 9",89,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:36:34",1379,1372,2,5,0,562,557,0,5,0,534,28,1500,938,64,225,13,4,6,178,3,1,22,1,17
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 1",126,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:03:37",1235,1227,0,8,0,591,583,0,8,0,556,35,1400,809,40,263,27,2,9,180,0,3,17,0,15
