precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VASILIU ION-PARTIDUL SOCIAL DEMOCRAT-voturi","MIHĂILĂ CONSTANTIN-DANIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","PÂSLARU LUCIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
35,SUCEAVA,"AȘEZĂMÂNT CULTURAL BASARABI",436,PREUTEŞTI,149968,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:49:34",1392,1386,0,6,0,892,886,0,6,0,873,19,1500,608,342,490,41
35,SUCEAVA,"CĂMINUL CULTURAL PREUTEŞTI",433,PREUTEŞTI,149968,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:53:28",1518,1511,0,7,0,920,913,0,7,0,886,34,1638,718,463,372,51
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ ARGHIRA",434,PREUTEŞTI,149968,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:11:35",972,967,1,4,0,542,538,0,4,0,529,13,1100,558,287,160,82
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ LEUCUŞEŞTI",438,PREUTEŞTI,149968,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:10:17",953,950,0,3,0,536,533,0,3,0,518,18,1000,464,301,186,31
35,SUCEAVA,"ŞCOALA PRIMARĂ BAHNA ARIN",435,PREUTEŞTI,149968,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:58:54",223,213,0,10,0,144,134,0,10,0,126,18,300,156,71,49,6
35,SUCEAVA,"ŞCOALA PRIMARĂ HUŞI",437,PREUTEŞTI,149968,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:50:27",530,524,0,6,0,303,297,0,6,0,293,10,600,297,95,175,23
