precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SORBÁN GYÖRGY-PARTIDUL NAȚIONAL LIBERAL-voturi","VITÁLYOS LAJOS-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
15,COVASNA,"CLĂDIREA FOSTEI ŞCOLI GENERALE CU CLASELE I-IV ERESTEGHIN",165,MOACŞA,64568,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:22:47",171,171,0,0,0,108,108,0,0,0,101,7,200,92,6,95
15,COVASNA,"GRĂDINIȚA CU PROGRAM NORMAL PĂDURENI",166,MOACŞA,64568,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:42:08",265,265,0,0,0,144,144,0,0,0,140,4,300,156,24,116
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”ORBAN BALAZS” MOACŞA",164,MOACŞA,64568,2,PART,PRCNCT,P,P_SV,"2024-06-10 03:57:28",562,561,1,0,0,300,300,0,0,0,287,13,584,284,34,253
