precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-voturi"
32,"SATU MARE","ŞCOALA GIMNAZIALĂ CIDREAG",273,PORUMBEŞTI,180028,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:27:28",864,853,0,4,7,464,453,0,4,7,421,43,948,484,4,328,19,70
32,"SATU MARE","ŞCOALA GIMNAZIALĂ PORUMBEŞTI",272,PORUMBEŞTI,180028,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:40:03",1242,1217,6,1,18,684,665,0,1,18,663,21,1356,672,25,548,18,72
