precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ROŞCA NICUŞOR-PARTIDUL NAȚIONAL LIBERAL-voturi","VASILE DORIN-COSMIN-PARTIDUL SOCIAL DEMOCRAT-voturi","DĂMUREANU RINGO-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","COSTACHE MARIN-PARTIDUL S.O.S. ROMÂNIA-voturi","POPA-INGINERU GHEORGHE-PARTIDUL LIGA ACȚIUNII NAȚIONALE-voturi","DRĂGOESCU CEZAR-MIHAIL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
17,DOLJ,"ANEXĂ ȘCOALĂ",491,SOPOT,74242,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:00:20",276,265,0,2,9,181,170,0,2,9,166,15,300,119,22,114,22,4,0,4
17,DOLJ,"BIBLIOTECA ORĂȘENEASCĂ ANTON PANN",210,"ORAŞ FILIAŞI",70414,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:58:26",1340,1330,1,6,3,715,706,0,6,3,687,28,1461,746,116,416,73,22,8,52
17,DOLJ,"BIBLIOTECA ORASENEASCA BECHET",202,"ORAŞ BECHET",70879,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:24:52",1303,1265,0,17,21,564,526,0,17,21,514,50,1400,836,135,296,28,11,1,43
17,DOLJ,"BIBLIOTECA ORĂŞENEASCĂ MIRCEA RĂDINA",223,"ORAŞ ŞEGARCEA",70502,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:51:06",1549,1526,0,19,4,990,967,0,19,4,947,43,1700,710,471,376,64,12,4,20
17,DOLJ,"CAMIN CULTURAL",359,GHINDENI,74915,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:20:07",1696,1543,1,109,43,1136,983,1,109,43,1024,112,1673,537,296,398,130,32,7,161
17,DOLJ,"CAMIN CULTURAL",314,COŞOVENI,71885,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:45:53",969,940,0,16,13,646,617,0,16,13,578,68,1055,409,88,388,29,12,5,56
17,DOLJ,"CĂMIN CULTURAL",517,URZICUŢA,74554,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:21:46",398,379,0,19,0,272,253,0,19,0,245,27,500,228,79,143,6,5,2,10
17,DOLJ,"CĂMIN CULTURAL",235,"APELE VII",70726,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 14:47:28",1779,1629,0,97,53,1276,1126,0,97,53,1211,65,1790,514,526,599,56,13,0,17
17,DOLJ,"CĂMIN CULTURAL",465,ROBĂNEŞTI,73923,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:00:28",508,478,0,21,9,368,338,0,21,9,340,28,595,227,37,234,24,12,0,33
17,DOLJ,"CĂMIN CULTURAL",258,BRATOVOEŞTI,71199,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:15:50",1172,1130,0,31,11,663,621,0,31,11,630,33,1221,558,53,461,56,17,2,41
17,DOLJ,"CAMIN CULTURAL ALBESTI",495,"ŞIMNICU DE SUS",70174,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:00:09",1290,1232,2,56,0,749,693,0,56,0,711,38,1309,560,98,435,67,34,5,72
17,DOLJ,"CAMIN CULTURAL DUDOVICESTI",496,"ŞIMNICU DE SUS",70174,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:52:13",1015,973,3,38,1,550,512,0,38,0,502,48,1000,450,44,261,103,25,1,68
17,DOLJ,"CAMIN CULTURAL FÂNTÂNELE",461,RADOVAN,73852,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:31:28",95,69,0,19,7,71,45,0,19,7,67,4,100,29,13,45,6,1,0,2
17,DOLJ,"CAMIN CULTURAL FLORESTI",497,"ŞIMNICU DE SUS",70174,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:20:03",673,638,0,35,0,363,328,0,35,0,347,16,800,437,30,175,73,20,2,47
17,DOLJ,"CAMIN CULTURAL GHIZDAVESTI",296,CELARU,71634,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:43:58",1208,1154,0,29,25,833,779,0,29,25,747,86,1300,467,193,453,85,10,2,4
17,DOLJ,"CAMIN CULTURAL GIUBEGA",363,GIUBEGA,72506,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:23:56",911,818,2,67,24,614,524,0,67,23,564,50,913,299,275,182,66,24,0,17
17,DOLJ,"CAMIN CULTURAL GOIESTI SALA",373,GOIEŞTI,72677,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:26:04",1203,1143,3,38,19,840,784,0,37,19,745,52,1192,393,383,200,54,55,3,50
17,DOLJ,"CAMIN CULTURAL MAROTINU DE JOS",297,CELARU,71634,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:21:59",509,465,1,23,20,327,284,0,23,20,303,24,500,173,137,122,24,7,2,11
17,DOLJ,"CAMIN CULTURAL MAROTINU DE SUS",298,CELARU,71634,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:00:59",450,417,0,19,14,272,239,0,19,14,262,10,500,228,96,151,10,3,1,1
17,DOLJ,"CĂMIN CULTURAL SĂLCUȚA",281,CALOPĂR,71457,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:11:59",972,914,0,54,4,463,405,0,54,4,431,32,1000,537,154,260,12,4,0,1
17,DOLJ,"CAMIN CULTURAL TÂRNAVA",462,RADOVAN,73852,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:13:35",192,152,1,32,7,127,87,1,32,7,119,8,200,73,37,68,10,2,0,2
17,DOLJ,"CAMINUL CULTURAL",286,CASTRANOVA,71572,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:20:35",1583,1493,1,46,43,1120,1030,1,46,43,1120,0,1601,481,615,457,48,0,0,0
17,DOLJ,"CAMINUL CULTURAL",401,"MĂCEŞU DE SUS",73013,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:40:45",1011,897,0,114,0,758,644,0,114,0,731,27,994,236,328,341,29,18,2,13
17,DOLJ,"CAMINUL CULTURAL",352,GALICIUICA,74891,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:30:32",1143,1099,2,6,36,785,741,2,6,36,736,49,1205,420,225,333,110,22,2,44
17,DOLJ,"CAMINUL CULTURAL",242,BÂRCA,70940,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:51:51",1732,1614,1,87,30,979,862,0,87,30,913,66,1834,855,427,402,38,32,14,0
17,DOLJ,"CĂMINUL CULTURAL",355,GHERCEŞTI,72409,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:19:15",1162,1041,0,111,10,886,765,0,111,10,858,28,1138,252,112,506,93,49,9,89
17,DOLJ,"CĂMINUL CULTURAL",276,BULZEŞTI,71340,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:27:18",601,575,0,4,22,395,369,0,4,22,349,25,644,227,61,229,31,8,3,17
17,DOLJ,"CĂMINUL CULTURAL",234,"AMĂRĂŞTII DE SUS",70673,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:06:42",1356,1194,0,104,58,1061,899,0,104,58,1058,3,1382,321,135,909,4,9,0,1
17,DOLJ,"CĂMINUL CULTURAL",358,GHIDICI,74907,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:34:45",1849,1728,1,8,112,884,763,1,8,112,857,27,2038,1154,33,783,22,12,0,7
