precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
39,VASLUI,"CENTRUL CULTURAL STROE S. BELLOESCU GRIVIŢA",333,GRIVIŢA,164133,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:53:50",1323,1314,1,8,0,655,647,0,8,0,623,32,1500,845,90,503,23,7
39,VASLUI,"GRĂDINIŢA CU PROGRAM NORMAL",335,GRIVIŢA,164133,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:01:06",1121,1119,1,1,0,507,505,1,1,0,489,18,1157,650,96,316,46,31
39,VASLUI,"ŞCOALĂ PRIMARĂ STROE BELLOESCU CUPLATĂ CU GRĂDINIŢĂ – PROGRAM NORMAL",334,GRIVIŢA,164133,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:08:07",426,421,0,5,0,177,172,0,5,0,171,6,500,323,18,144,7,2
