precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IONAŞCU PAUL-LUCIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","SIMON MIHAI-IULIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","GHERGUŢ AURELIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","BACIU MARIANA-PARTIDUL S.O.S. ROMÂNIA-voturi"
24,IAŞI,"SCOALA GIMNAZIALA SCHEIA",319,"ALEXANDRU I. CUZA",95612,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:30:39",1027,997,0,13,17,538,508,0,13,17,493,20,1100,508,6,100,362,25
24,IAŞI,"ȘCOALA PRIMARĂ AL. I. CUZA",318,"ALEXANDRU I. CUZA",95612,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:11:41",644,637,1,2,4,355,349,0,2,4,338,16,700,346,15,114,183,26
24,IAŞI,"SCOALA PRIMARA VOLINTIRESTI",320,"ALEXANDRU I. CUZA",95612,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:11:08",591,588,0,3,0,332,329,0,3,0,321,11,672,340,7,83,187,44
