precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",249,BISTRA,107270,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:15:38",1296,1286,0,10,0,663,653,0,10,0,603,60,1400,737,215,98,48,55,155,32
26,MARAMUREŞ,"PRIMĂRIA BISTRA",248,BISTRA,107270,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:17:41",816,796,0,9,11,487,467,0,9,11,451,36,900,413,184,74,15,123,47,8
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ",250,BISTRA,107270,6,PART,PRCNCT,CL,CL_SV,"2024-06-12 20:50:29",1187,1174,3,3,7,661,651,0,3,7,607,51,1293,632,101,311,19,124,46,6
