precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DUMITRUŢ-BÎRSAN ISZABELA-ELENA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BACIU MARCELA-ADRIANA-PARTIDUL NAȚIONAL LIBERAL-voturi","POJAR VALENTIN-DOREL-PARTIDUL SOCIAL DEMOCRAT-voturi","BORCA NICOLAE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","POP ILIE-UNIUNEA CREȘTIN DEMOCRATĂ DIN ROMÂNIA-voturi"
13,CLUJ,"ASEZAMANTUL SOCIAL BISERICESC",520,JUCU,58259,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:42:33",649,628,6,9,6,405,389,1,9,6,399,6,686,281,7,37,176,167,12
13,CLUJ,"CĂMIN CULTURAL GĂDĂLIN",521,JUCU,58259,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:20:29",580,518,1,46,15,442,381,0,46,15,424,18,582,140,5,15,344,59,1
13,CLUJ,"CĂMIN CULTURAL VIȘEA",524,JUCU,58259,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:43:20",456,440,0,15,1,270,254,0,15,1,253,17,487,217,3,17,183,49,1
13,CLUJ,"GRĂDINIȚA CU PROGRAM NORMAL",522,JUCU,58259,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:19:33",378,369,1,8,0,268,260,0,8,0,251,7,410,152,3,21,177,35,15
13,CLUJ,"ȘCOALA GIMNAZIALĂ ”GEORGE BARIȚIU”",519,JUCU,58259,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:50:19",1049,1032,2,15,0,637,622,0,15,0,624,13,1098,461,9,64,299,243,9
13,CLUJ,"ŞCOALA PRIMARĂ",523,JUCU,58259,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:52:02",1343,1285,7,45,6,799,746,2,45,6,791,8,1407,608,20,64,391,284,32
