precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SÂRBILOR DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","FORȚA DREPTEI-voturi"
11,CARAŞ-SEVERIN,"CENTRU DE INFORMARE TURISTICĂ",170,BERZASCA,51449,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:06:25",1167,1101,1,45,20,633,568,0,45,20,611,22,1209,576,407,45,5,67,54,33
11,CARAŞ-SEVERIN,"GRĂDINIȚA LIUBCOVA",172,BERZASCA,51449,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:11:04",853,819,3,18,13,490,459,0,18,13,439,19,903,445,146,79,78,78,5,53
11,CARAŞ-SEVERIN,"ŞCOALA GIMNAZIALĂ BIGĂR",171,BERZASCA,51449,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:17:08",179,167,2,8,2,58,48,0,8,2,56,2,185,127,42,0,1,5,5,3
