precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL VERDE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","PARTIDUL MAKEDONARMÂNILOR DIN ROMÂNIA-voturi","OVANESIAN FELICIA-NADINA-voturi","POPESCU GEORGE-ANDREI-voturi","VOINEAGU EUGEN-voturi"
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 29 ”MIHAI VITEAZUL”",153,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:49:15",702,693,0,9,0,318,309,0,9,0,307,11,800,482,45,77,61,5,16,9,1,2,58,1,3,19,8,2
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 29 ”MIHAI VITEAZUL”",152,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:55:50",595,580,1,13,1,228,214,0,13,1,221,7,600,372,35,70,48,2,2,5,2,0,40,3,3,7,4,0
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 29 ”MIHAI VITEAZUL”",154,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:06:27",1147,1139,2,6,0,464,458,0,6,0,451,13,1300,836,50,117,99,4,13,14,3,8,95,3,5,21,13,6
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR.30 ”GHEORGHE ŢIŢEICA”",176,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:16:59",808,797,4,7,0,405,398,0,7,0,395,10,900,495,42,79,124,7,5,16,4,6,74,0,19,6,8,5
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR.30 ”GHEORGHE ŢIŢEICA”",177,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:00:48",770,766,0,4,0,354,350,0,4,0,350,4,800,446,41,64,91,6,18,14,3,3,82,2,12,7,1,6
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR.30 ”GHEORGHE ŢIŢEICA”",175,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:35:46",1139,1139,0,0,0,425,425,0,0,0,405,20,1300,875,48,82,99,5,12,7,3,2,83,1,47,8,3,5
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 31",85,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:10:00",1456,1451,0,5,0,506,501,0,5,0,489,17,1600,1094,99,146,94,5,14,8,4,2,82,3,2,18,7,5
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 31",87,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:43:17",1204,1197,0,7,0,384,377,0,7,0,345,39,1300,916,92,104,76,3,6,4,3,3,33,1,0,11,6,3
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 31",86,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:49:49",1174,1167,0,7,0,444,437,0,7,0,416,21,1300,863,108,102,95,8,8,8,2,2,56,1,2,10,9,5
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 33 ”ANGHEL SALIGNY”",64,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:12:58",1378,1373,3,2,0,645,643,0,2,0,616,29,1500,855,80,130,187,5,24,19,4,9,118,4,1,20,7,8
