precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PRODAN GHEORGHE-SANDU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BERCEAN ALEXANDRU-BOGDAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
33,SĂLAJ,"CĂMINUL CULTURAL DIN MESEŞENII DE JOS",225,"MESEŞENII DE JOS",142079,2,PART,PRCNCT,P,P_SV,"2024-06-13 13:20:16",559,535,0,16,8,382,358,0,16,8,375,7,600,218,67,308
33,SĂLAJ,"CENTRUL AFTER SCHOOL",226,"MESEŞENII DE JOS",142079,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:30:23",1268,1225,0,30,13,842,799,0,30,13,819,23,1365,523,662,157
33,SĂLAJ,"CENTRUL DE ZI",228,"MESEŞENII DE JOS",142079,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:59:25",686,640,0,39,7,431,385,0,39,7,414,17,750,319,105,309
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ FETINDIA",227,"MESEŞENII DE JOS",142079,2,PART,PRCNCT,P,P_SV,"2024-06-13 13:32:25",178,158,2,16,2,121,103,0,16,2,119,2,180,59,61,58
