precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PANDELEA NEMO-ALEXANDRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NIŢU CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","RĂDUŢĂ TEODOR-TIBERIUS-PARTIDUL ROMÂNI PENTRU ROMÂNIA-voturi","BOZIANU ALEXANDRU-ŞTEFAN-PARTIDUL MIȘCAREA POPULARĂ-voturi","VASILE GHEORGHE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","DRAGOŞ CRISTINA-voturi"
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL FÂNTÂNELE",408,FÂNTÂNELE,133278,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:55:35",537,516,0,11,10,537,516,0,11,10,502,14,867,351,28,227,10,77,42,118
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL FÂNTÂNELE",407,FÂNTÂNELE,133278,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:55:09",798,785,0,6,7,515,502,0,6,7,494,21,867,352,23,204,6,77,31,153
