precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GHERMAN VASILE-VLĂDUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi","GEMĂNARU ADRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","GHERMAN ŞTEFAN-voturi"
35,SUCEAVA,"CĂMINUL CULTURAL HERLA",462,SLATINA,150258,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:24:08",1187,1158,0,7,22,680,651,0,7,22,671,9,1500,820,666,4,1
35,SUCEAVA,"ȘCOALA GIMNAZIALĂ ”ALEXANDRU LĂPUȘNEANU”- CORP B",460,SLATINA,150258,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:22:11",1585,1525,2,8,50,877,819,0,8,50,872,5,1600,723,865,5,2
35,SUCEAVA,"ȘCOALA GIMNAZIALĂ GĂINEȘTI",461,SLATINA,150258,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:41:57",1653,1589,1,7,56,1039,976,0,7,56,1011,28,1697,658,921,79,11
