precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ROMÂNIA PUTERNICĂ-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
37,TIMIŞ,"ANEXA ADMINISTRATIVĂ A FOSTEI UNITĂȚI MILITARE - GIROC",428,GIROC,155314,6,PROV,PRCNCT,CJ,CJ_SV,"2024-06-14 09:40:41",1748,1714,14,15,5,842,821,1,15,5,827,15,2000,1158,94,34,10,308,13,14,7,5,17,34,291
37,TIMIŞ,"ANEXA ADMINISTRATIVĂ A FOSTEI UNITĂȚI MILITARE - GIROC",429,GIROC,155314,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-14 09:55:53",1785,1745,13,27,0,859,831,1,27,0,844,15,2000,1141,52,11,18,279,8,13,2,7,15,48,391
37,TIMIŞ,"BAZĂ DE AGREMENT ȘI TRATAMENT (ȘTRAND TERMAL)",461,LOVRIN,157530,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 11:39:48",1742,1720,4,5,13,754,736,0,5,13,696,58,1800,1046,77,43,9,452,6,14,3,5,4,3,80
37,TIMIŞ,"BIBLIOTECA COMUNALĂ ORȚIȘOARA",498,ORŢIŞOARA,158010,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:10:10",977,956,4,12,5,581,563,1,12,5,549,32,1000,419,59,38,13,240,9,69,10,5,2,4,100
37,TIMIŞ,"BIBLIOTECA COMUNALĂ PESAC",513,PESAC,159507,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:12:32",909,890,4,3,12,459,444,0,3,12,426,33,1000,541,114,10,4,275,1,2,2,3,2,2,11
37,TIMIŞ,"BIBLIOTECA LOCALĂ ”DIMITRIE ŢICHINDEAL” BECICHERECU MIC",318,"BECICHERECU MIC",155760,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:36:39",1196,1179,5,8,4,545,531,2,8,4,508,37,1400,855,69,14,3,266,5,22,7,3,3,9,107
37,TIMIŞ,"BIROUL LOCUINŢE/DIRECŢIA CLĂDIRI, TERENURI ŞI DOTĂRI DIVERSE- PRIMĂRIA MUNICIPIULUI TIMIŞOARA",50,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:26:18",717,632,77,8,0,285,272,5,8,0,281,4,1100,815,28,3,15,98,1,7,1,2,1,5,120
37,TIMIŞ,"CĂMIN CULTURAL CRAI NOU",437,GIULVĂZ,157317,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:58:23",350,342,0,8,0,157,149,0,8,0,141,16,400,243,28,26,3,58,1,0,1,1,0,3,20
37,TIMIŞ,"CĂMIN CULTURAL IVANDA",438,GIULVĂZ,157317,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:34:23",490,489,0,1,0,219,218,0,1,0,212,7,500,281,40,17,8,106,6,5,2,1,1,2,24
37,TIMIŞ,"CAMIN CULTURAL LUGOJEL",405,GAVOJDIA,157031,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:36:42",641,616,1,6,18,387,362,1,6,18,375,12,800,413,36,18,9,247,24,5,0,1,2,3,30
