precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MIRON CRISTIAN-MARIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ANDREI PETRE-PARTIDUL NAȚIONAL LIBERAL-voturi","NEGOIŢĂ DINU-PARTIDUL SOCIAL DEMOCRAT-voturi"
9,BRĂILA,"CAMIN CULTURAL GRADISTEA",194,GRĂDIŞTEA,43279,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:56:39",1025,962,0,24,39,650,587,0,24,39,637,13,1060,410,20,578,39
9,BRĂILA,"CĂMIN CULTURAL SAT IBRIANU",195,GRĂDIŞTEA,43279,2,PART,PRCNCT,P,P_SV,"2024-06-12 18:40:18",489,449,0,15,25,337,297,0,15,25,330,5,518,181,17,295,18
9,BRĂILA,"CĂMIN CULTURAL SAT MARALOIU",196,GRĂDIŞTEA,43279,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:43:56",226,208,0,12,6,163,145,0,12,6,162,1,224,61,6,149,7
