precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BRATU MIHAIL-PARTIDUL NAȚIONAL LIBERAL-voturi","TEŞCAN DUMITRU-DĂNUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi"
31,PRAHOVA,"CONSILIUL LOCAL APOSTOLACHE",295,APOSTOLACHE,132011,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:04:29",796,786,0,10,0,458,448,0,10,0,436,22,877,419,374,62
31,PRAHOVA,"CONSILIUL LOCAL APOSTOLACHE",294,APOSTOLACHE,132011,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:47:54",863,844,0,19,0,544,525,0,19,0,526,18,900,356,476,50
