precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POPESCU BOGDAN-GEORGE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BANZEA ION-PARTIDUL NAȚIONAL LIBERAL-voturi","CHIŢU GHEORGHE-GALILEU-PARTIDUL SOCIAL DEMOCRAT-voturi"
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM NORMAL NR.2 GROŞANI",434,"POIENARII DE MUSCEL",17968,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:09:37",607,603,0,2,2,354,350,0,2,2,341,13,650,296,51,209,81
3,ARGEŞ,"ŞCOALA GIMNAZIALA NR.1 POIENARII DE MUSCEL",433,"POIENARII DE MUSCEL",17968,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:45:26",1093,1068,0,7,18,669,644,0,7,18,659,10,1200,531,228,172,259
3,ARGEŞ,"ŞCOALA PRIMARĂ NR.1 JUGUR",435,"POIENARII DE MUSCEL",17968,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:19:48",870,841,0,4,25,535,506,0,4,25,525,10,957,422,116,240,169
