precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA MARE-voturi"
13,CLUJ,"PRIMĂRIA COMUNEI",550,"MINTIU GHERLII",58552,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:23:24",1318,1302,2,12,2,785,771,0,12,2,760,25,1434,649,163,74,350,167,6
13,CLUJ,"ŞCOALA GENERALĂ",554,"MINTIU GHERLII",58552,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:28:27",214,209,0,4,1,122,117,0,4,1,117,5,232,110,27,7,63,19,1
13,CLUJ,"ŞCOALA GENERALĂ",555,"MINTIU GHERLII",58552,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:12:59",219,211,0,8,0,126,118,0,8,0,118,8,224,98,60,7,23,27,1
13,CLUJ,"ŞCOALA GENERALĂ",552,"MINTIU GHERLII",58552,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:28:56",350,343,0,7,0,350,343,0,7,0,335,15,640,290,186,8,97,42,2
13,CLUJ,"ŞCOALA GENERALĂ",551,"MINTIU GHERLII",58552,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:27:55",757,747,1,4,5,398,388,1,4,5,372,26,832,434,104,40,140,83,5
13,CLUJ,"ŞCOALA GENERALĂ",553,"MINTIU GHERLII",58552,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:39:20",72,64,0,8,0,39,31,0,8,0,34,5,70,31,19,5,7,3,0
