precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MECHNO MARIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","MEHNU LEONARD-TIBERIU-PARTIDUL SOCIAL DEMOCRAT-voturi","DRONIUC SIMION-IULIAN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
35,SUCEAVA,"CENTRUL SOCIAL DE ZI PENTRU PERSOANE VÂRSTNICE, SAT BOBEICA",374,"IZVOARELE SUCEVEI",149183,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:31:15",343,327,0,7,9,219,203,0,7,9,213,3,361,145,114,97,2
35,SUCEAVA,"PRIMARIA IZVOARELE SUCEVEI",373,"IZVOARELE SUCEVEI",149183,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:44:17",414,401,0,2,11,414,401,0,2,11,397,17,757,343,227,158,12
35,SUCEAVA,"SCOALA GIMNAZIALĂ BRODINA - IZVOARELE SUCEVEI",375,"IZVOARELE SUCEVEI",149183,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:34:59",590,577,0,4,9,387,374,0,4,9,370,17,626,239,81,288,1
