precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","CORLACIU RAFILA-voturi","BENCHEA VASILE-voturi"
1,ALBA,"CLĂDIRE CĂMIN CULTURAL LUPU",223,CERGĂU,3805,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:46:11",207,190,1,7,9,154,138,0,7,9,149,5,220,66,77,39,13,2,15,3
1,ALBA,"GRĂDINIȚA CU PROGRAM NORMAL CERGĂU MIC",222,CERGĂU,3805,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:02:36",270,250,0,7,13,187,167,0,7,13,170,17,290,103,97,19,3,43,4,4
1,ALBA,"ŞCOALA GIMNAZIALĂ ”ARON COTRUŞ” CERGĂU MARE",221,CERGĂU,3805,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:08:29",787,759,2,2,24,589,563,0,2,24,568,21,863,274,286,102,113,14,3,50
