precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-voturi"
32,"SATU MARE","CLĂDIRE MULTIFUNCȚIONALĂ",261,PETREŞTI,138501,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:37:35",313,306,0,2,5,113,106,0,2,5,99,14,389,276,99
32,"SATU MARE","ŞCOALA GIMNAZIALĂ DR. STEFAN VONHÁZ",260,PETREŞTI,138501,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:02:56",1310,1280,4,2,24,443,416,1,2,24,376,67,1400,957,376
