precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SILEGEANU CĂTĂLIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ANDREI COSMIN-IONUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi","FLUTUR CĂTĂLIN-MUGUREL-PARTIDUL NAȚIONAL LIBERAL-voturi","CURELARIU RALUCA-ŞTEFANIA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","DĂSCĂLESCU REMUS-IOAN-PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","JURGIU IONEL-MARIAN-PARTIDUL S.O.S. ROMÂNIA-voturi","STOICIUC MIHAELA-VIORICA-voturi"
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ NR. 7",7,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:38:44",994,986,0,8,0,423,415,0,8,0,409,14,1098,675,18,252,91,24,7,7,10
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ NR. 7",6,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:59:43",1064,1053,4,7,0,435,428,0,7,0,420,15,1197,762,20,272,97,12,5,8,6
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ „SFÂNTA MARIA”",14,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:12:52",1294,1287,0,7,0,482,475,0,7,0,465,17,1402,920,29,294,92,24,7,7,12
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ „SFÂNTA MARIA”",13,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:34:31",1356,1350,0,6,0,549,543,0,6,0,537,12,1300,751,37,337,109,22,2,9,21
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ „SFÂNTA MARIA”",15,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:30:37",1216,1209,1,6,0,464,458,0,6,0,453,11,1300,836,40,263,95,20,12,12,11
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ „SFÂNTUL NICOLAE”",68,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:08:48",910,896,0,7,7,384,370,0,7,7,375,9,1000,616,34,192,113,14,3,10,9
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ „SFÂNTUL NICOLAE”",67,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:12:31",1263,1256,0,6,1,577,570,0,6,1,554,12,1400,832,38,288,180,18,7,14,9
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ „SFÂNTUL NICOLAE”",69,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:57:46",1269,1259,3,7,0,541,534,0,7,0,525,16,1403,862,29,307,126,25,6,20,12
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ „ȘTEFAN CEL MARE”",39,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:51:31",1076,1074,0,2,0,383,381,0,2,0,379,4,1188,805,20,234,86,15,9,8,7
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ „ȘTEFAN CEL MARE”",38,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:22:23",1036,1028,1,7,0,392,385,0,7,0,388,4,1200,808,28,234,80,23,6,7,10
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ „ȘTEFAN CEL MARE”",36,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:49:29",565,561,0,4,0,229,225,0,4,0,224,5,700,471,18,132,50,13,3,1,7
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ „ȘTEFAN CEL MARE”",37,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,P,P_SV,"2024-06-10 12:47:35",1029,1020,0,9,0,447,438,0,9,0,443,4,1100,653,22,270,106,15,4,9,17
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ „ȘTEFAN CEL MARE”",34,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:49:49",892,887,0,5,0,370,365,0,5,0,364,5,1000,630,14,230,88,12,1,11,8
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ „ȘTEFAN CEL MARE”",35,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:14:12",1367,1358,0,9,0,583,574,0,9,0,568,15,1499,916,41,341,121,21,11,16,17
