precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LIPCIUC TOMA-PARTIDUL SOCIAL DEMOCRAT-voturi","OLOERIU DAN-PARTIDUL NAȚIONAL LIBERAL-voturi","SLOBODEANU AUREL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","IFTODE EUSEBIU-ILIE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
7,BOTOŞANI,"CASA DE CULTURA ”NICOLAE SEVEREANU”",124,"ORAŞ FLĂMÂNZI",37280,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:34:25",1135,1128,0,7,0,451,444,0,7,0,437,14,1200,749,45,351,13,28
7,BOTOŞANI,"LICEUL TEHNOLOGIC ”NICOLAE BĂLCESCU”",125,"ORAŞ FLĂMÂNZI",37280,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:23:58",1024,1016,0,6,2,473,465,0,6,2,462,11,1100,627,51,372,10,29
7,BOTOŞANI,"LICEUL TEHNOLOGIC ”NICOLAE BĂLCESCU”",126,"ORAŞ FLĂMÂNZI",37280,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:39:38",1171,1147,0,7,17,535,511,0,7,17,520,15,1300,765,41,414,16,49
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ ”CONSTANTIN COMICESCU”",128,"ORAŞ FLĂMÂNZI",37280,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:14:40",1375,1345,3,10,17,664,634,3,10,17,651,13,1500,836,53,572,15,11
7,BOTOŞANI,"ȘCOALA.GIMNAZIALĂ ”ION BOJOI”",123,"ORAŞ FLĂMÂNZI",37280,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:35:55",1097,1078,0,5,14,493,474,0,5,14,476,17,1200,707,48,378,12,38
7,BOTOŞANI,"ȘCOALA .GIMNAZIALĂ ”MIHAIL STURZA”",122,"ORAŞ FLĂMÂNZI",37280,4,PART,PRCNCT,P,P_SV,"2024-06-10 08:38:42",866,853,0,5,8,341,328,0,5,8,332,9,1000,659,46,257,12,17
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ ”MIHAIL STURZA”",121,"ORAŞ FLĂMÂNZI",37280,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:59:16",627,617,0,6,4,271,261,0,6,4,263,8,700,429,29,209,12,13
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ ”PETRU ZAMFIRESCU”",130,"ORAŞ FLĂMÂNZI",37280,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:10:09",491,483,0,7,1,214,206,0,7,1,201,13,569,355,18,162,10,11
7,BOTOŞANI,"ȘCOALA PRIMARĂ ”GHEORGHE PRICOP”",129,"ORAŞ FLĂMÂNZI",37280,3,PART,PRCNCT,P,P_SV,"2024-06-10 06:23:32",467,458,0,5,4,201,192,0,5,4,196,5,500,299,22,156,9,9
7,BOTOŞANI,"ŞCOALA TAMBA",127,"ORAŞ FLĂMÂNZI",37280,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:30:20",1037,1004,0,9,24,530,497,0,9,24,518,12,1100,570,45,444,4,25
