precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","FORȚA DREPTEI-voturi"
14,CONSTANŢA,"CĂMIN CULTURAL ADAMCLISI",357,ADAMCLISI,60883,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:04:06",976,906,1,55,14,673,604,0,55,14,650,23,990,317,83,228,148,77,9,44,61
14,CONSTANŢA,"ȘCOALA GENERALĂ ABRUD",358,ADAMCLISI,60883,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:57:23",123,111,0,12,0,84,72,0,12,0,81,3,123,39,22,20,35,3,0,1,0
14,CONSTANŢA,"ȘCOALA GENERALĂ URLUIA",359,ADAMCLISI,60883,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:55:11",290,279,0,8,3,219,208,0,8,3,200,19,309,90,19,67,39,23,1,23,28
14,CONSTANŢA,"ŞCOALA ZORILE",360,ADAMCLISI,60883,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:12:04",460,439,0,8,13,345,324,0,8,13,331,14,493,148,22,81,114,29,5,71,9
