precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi"
9,BRĂILA,"CAMIN CULTURAL LATINU",209,MĂXINENI,43563,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:03:42",576,567,0,6,3,342,333,0,6,3,317,23,628,268,271,10,27,9
9,BRĂILA,"CĂMINUL CULTURAL CORBU NOU",207,MĂXINENI,43563,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:26:20",695,673,1,4,17,443,422,0,4,17,432,11,700,257,379,29,20,4
9,BRĂILA,"CĂMINUL CULTURAL CORBU VECHI",208,MĂXINENI,43563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:31:34",215,207,0,8,0,139,131,0,8,0,135,4,235,96,113,6,11,5
9,BRĂILA,"ȘCOALA GENERALĂ CU CLASELE I-VIII MĂXINENI",206,MĂXINENI,43563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:50:00",1141,1132,0,0,9,619,610,0,0,9,598,21,1170,551,361,115,86,36
