precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TOMESCU DINCĂ-PARTIDUL NAȚIONAL LIBERAL-voturi","CORA PETRU-PARTIDUL SOCIAL DEMOCRAT-voturi"
30,OLT,"ŞCOALA BUSCA",246,MIHĂEŞTI,127536,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:55:28",528,457,0,40,31,380,309,0,40,31,377,3,503,123,283,94
30,OLT,"ŞCOALA MIHĂEŞTI",245,MIHĂEŞTI,127536,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:26:17",691,617,0,33,41,466,392,0,33,41,453,13,675,209,241,212
