precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","LIUBA PETRU-OVIDIU-voturi"
11,CARAŞ-SEVERIN,"CLĂDIREA APARȚINĂTOARE COMUNEI BUCHIN (FOST SEDIU AL PRIMĂRIEI)",187,BUCHIN,51699,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:50:55",531,487,1,16,27,329,285,1,16,27,316,10,540,211,202,6,0,29,79
11,CARAŞ-SEVERIN,GRĂDINIŢA,188,BUCHIN,51699,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:50:11",457,437,1,4,15,281,262,0,4,15,271,10,477,196,103,92,11,45,20
11,CARAŞ-SEVERIN,"ŞCOALA CU CLASELE I - IV",186,BUCHIN,51699,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 17:12:09",812,783,3,12,14,410,384,0,12,14,388,19,856,449,169,107,29,73,10
