precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
13,CLUJ,ŞCOALA,608,SĂNDULEŞTI,55311,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:32:30",649,627,0,16,6,372,350,0,16,6,363,9,629,257,230,17,28,32,56
13,CLUJ,"ŞCOALA SIMION BALINT",609,SĂNDULEŞTI,55311,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:51:40",1207,1172,2,9,24,678,644,1,9,24,666,12,1307,629,394,69,46,99,58
