precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","FORȚA DREPTEI-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
32,"SATU MARE","COLEGIUL TEHNIC ”IULIU MANIU”",76,"MUNICIPIUL CAREI",136526,3,PART,PRCNCT,CL,CL_SV,"2024-06-12 17:40:27",1267,1260,2,4,1,601,596,0,4,1,587,14,1400,799,331,98,123,17,18
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL IANCULEŞTI",88,"MUNICIPIUL CAREI",136526,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:26:40",285,276,0,9,0,147,138,0,9,0,137,10,505,358,3,56,62,6,10
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL NR.10",81,"MUNICIPIUL CAREI",136526,3,PART,PRCNCT,CL,CL_SV,"2024-06-12 17:23:00",1785,1770,2,13,0,711,698,0,13,0,692,19,1900,1189,374,123,160,5,30
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL NR.5",84,"MUNICIPIUL CAREI",136526,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:55:03",1929,1905,4,17,3,832,812,0,17,3,794,38,2100,1268,499,140,120,22,13
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL NR.8",85,"MUNICIPIUL CAREI",136526,3,PART,PRCNCT,CL,CL_SV,"2024-06-12 18:02:17",1367,1356,5,6,0,673,667,0,6,0,663,10,1500,827,386,114,111,22,30
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL NR.9",80,"MUNICIPIUL CAREI",136526,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 19:52:25",1093,1085,1,7,0,477,470,0,7,0,467,10,1200,723,294,70,78,7,18
32,"SATU MARE","LICEUL ROMANO-CATOLIC”JOSEPHUS CALASANTIUS”",75,"MUNICIPIUL CAREI",136526,3,PART,PRCNCT,CL,CL_SV,"2024-06-12 17:09:37",1570,1565,0,4,1,687,682,0,4,1,628,59,1700,1013,355,150,71,33,19
32,"SATU MARE","LICEUL TEHNOLOGIC ”SIMION BĂRNUŢIU”",77,"MUNICIPIUL CAREI",136526,3,PART,PRCNCT,CL,CL_SV,"2024-06-13 12:14:03",1533,1525,1,6,1,761,753,1,6,1,753,8,1700,939,544,70,99,17,23
32,"SATU MARE","LICEUL TEORETIC CAREI",83,"MUNICIPIUL CAREI",136526,3,PART,PRCNCT,CL,CL_SV,"2024-06-12 16:58:00",1554,1539,2,12,1,581,567,1,12,1,568,13,1700,1119,360,96,78,24,10
32,"SATU MARE","MUZEUL MUNICIPAL CAREI",86,"MUNICIPIUL CAREI",136526,3,PART,PRCNCT,CL,CL_SV,"2024-06-12 16:31:36",1939,1925,1,10,3,861,848,0,10,3,837,24,2097,1236,535,101,152,27,22
32,"SATU MARE","SCOALA GENERALA NR4",87,"MUNICIPIUL CAREI",136526,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 16:18:58",960,931,5,9,15,379,356,0,9,14,369,10,1101,722,218,70,48,22,11
32,"SATU MARE","ŞCOALA GIMNAZIALĂ NR.1",78,"MUNICIPIUL CAREI",136526,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 16:51:43",1518,1495,13,8,2,682,672,0,8,2,669,13,1601,919,421,95,121,18,14
32,"SATU MARE","ŞCOALA GIMNAZIALĂ NR.3",82,"MUNICIPIUL CAREI",136526,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:28:23",1498,1486,1,10,1,735,724,0,10,1,722,13,1601,866,359,135,169,32,27
32,"SATU MARE","ŞCOALA GIMNAZIALĂ ”VASILE LUCACIU” NR.2",79,"MUNICIPIUL CAREI",136526,3,PART,PRCNCT,CL,CL_SV,"2024-06-12 18:27:05",1633,1621,3,8,1,687,678,0,8,1,677,10,1800,1113,379,117,130,25,26
