precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
5,BIHOR,"CĂMINUL CULTURAL CIUMEGHIU",335,CIUMEGHIU,28665,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:54:18",1567,1551,3,11,2,1100,1087,0,11,2,996,104,1705,605,81,28,318,300,269
5,BIHOR,"ȘCOALA GENERALĂ GHIORAC",337,CIUMEGHIU,28665,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:55:41",1284,1268,6,4,6,704,693,1,4,6,648,56,1396,692,17,164,54,195,218
5,BIHOR,"ȘCOALA GIMNAZIALĂ BOIU",336,CIUMEGHIU,28665,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:35:13",619,598,1,14,6,426,406,0,14,6,413,10,660,237,9,136,47,189,32
