precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
16,DÂMBOVIŢA,"GRĂDINIŢA CU PROGRAM NORMAL VALEA CASELOR",406,"VALEA MARE",69170,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:49:02",563,560,1,1,1,361,358,1,1,1,352,9,620,259,34,259,35,24
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ VALEA MARE",405,"VALEA MARE",69170,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:54:01",1152,1150,0,2,0,711,709,0,2,0,681,29,1260,550,64,540,45,32
