precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-voturi"
26,MARAMUREŞ,"CANTINA DE AJUTOR SOCIAL",220,"ORAŞ VIŞEU DE SUS",106979,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:04:26",1463,1453,0,10,0,683,673,0,10,0,658,25,1600,917,33,237,316,17,3,6,37,9
26,MARAMUREŞ,GRĂDINIŢA,223,"ORAŞ VIŞEU DE SUS",106979,3,PART,PRCNCT,CL,CL_SV,"2024-06-14 16:17:01",759,747,0,11,1,412,400,0,11,1,402,10,788,376,15,242,110,8,0,12,13,2
26,MARAMUREŞ,"GRĂDINIŢA NR. 5",213,"ORAŞ VIŞEU DE SUS",106979,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:51:32",1043,1026,2,6,9,484,469,0,6,9,461,23,1200,716,22,177,221,10,2,7,16,6
26,MARAMUREŞ,"GRĂDINIŢA NR. 5",212,"ORAŞ VIŞEU DE SUS",106979,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:48:52",1058,1048,0,6,4,479,469,0,6,4,460,19,1200,721,24,151,231,14,3,6,25,6
26,MARAMUREŞ,"LICEUL TEHNOLOGIC",216,"ORAŞ VIŞEU DE SUS",106979,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:41:52",1628,1615,0,8,5,637,624,0,8,5,611,26,1800,1163,15,212,228,21,19,18,30,68
26,MARAMUREŞ,"LICEUL TEHNOLOGIC",217,"ORAŞ VIŞEU DE SUS",106979,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:58:50",1638,1630,1,7,0,517,510,0,7,0,495,22,1800,1283,27,167,211,15,8,4,8,55
26,MARAMUREŞ,"LICEUL TEHNOLOGIC NR. 4",218,"ORAŞ VIŞEU DE SUS",106979,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:37:01",1047,1038,0,7,2,471,462,0,7,2,446,25,1100,629,15,111,275,11,1,11,9,13
26,MARAMUREŞ,"LICEUL TEHNOLOGIC NR. 4",219,"ORAŞ VIŞEU DE SUS",106979,3,PART,PRCNCT,CL,CL_SV,"2024-06-14 16:10:02",948,933,1,11,3,480,466,0,11,3,448,31,1000,521,28,113,267,6,1,14,10,9
26,MARAMUREŞ,"LICEUL TEORETIC BOGDAN VODĂ",214,"ORAŞ VIŞEU DE SUS",106979,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:22:03",858,853,0,2,3,344,339,0,2,3,336,8,1000,655,25,118,137,11,9,7,12,17
26,MARAMUREŞ,"LICEUL TEORETIC BOGDAN VODĂ",215,"ORAŞ VIŞEU DE SUS",106979,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:15:48",918,913,2,2,1,401,397,1,2,1,393,8,1000,599,18,131,156,19,17,8,13,31
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ NR. 7",221,"ORAŞ VIŞEU DE SUS",106979,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:10:49",1674,1661,2,6,5,721,710,0,6,5,693,23,1800,1084,28,241,368,8,3,12,21,12
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ NR. 7",222,"ORAŞ VIŞEU DE SUS",106979,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:53:45",1482,1470,4,8,0,577,567,2,8,0,569,8,1600,1023,32,205,257,16,9,5,26,19
