precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL PRO ROMÂNIA-voturi","FORȚA DREPTEI-voturi"
3,ARGEŞ,"GRĂDINIȚA CU PROGRAM NORMAL MÂZGANA ” PICTOR ION MĂRGESCUˮ",524,VULTUREŞTI,20055,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:20:14",758,756,0,2,0,410,408,0,2,0,380,30,830,420,12,10,81,264,0,13
3,ARGEŞ,"PRIMĂRIA VULTUREȘTI",523,VULTUREŞTI,20055,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:40:09",807,801,0,4,2,564,558,0,4,2,548,16,890,326,47,32,104,327,11,27
3,ARGEŞ,"ȘCOALA PRIMARĂ BÂRZEȘTI",525,VULTUREŞTI,20055,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:56:08",459,457,0,2,0,275,273,0,2,0,260,15,494,219,12,35,76,120,11,6
3,ARGEŞ,"ȘCOALA PRIMARĂ HULUBA",526,VULTUREŞTI,20055,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:41:09",172,167,0,4,1,149,144,0,4,1,147,2,190,41,2,22,39,67,13,4
