precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
4,BACĂU,"CENTRUL SOCIAL SLOBOZIA",178,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:40:55",1051,1043,1,6,1,442,435,0,6,1,433,8,1100,658,18,94,267,35,13,6
4,BACĂU,"COLEGIUL NAȚIONAL ”DIMITRIE CANTEMIR”",162,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:38:32",1280,1271,1,8,0,518,510,0,8,0,506,12,1397,879,64,147,217,35,18,25
4,BACĂU,"COLEGIUL NAŢIONAL ”GRIGORE C.MOISIL”",146,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:22:39",888,879,0,6,3,309,300,0,6,3,308,1,1000,691,31,58,166,20,19,14
4,BACĂU,"COLEGIUL NAŢIONAL ”GRIGORE C.MOISIL”",145,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:03:10",1027,1020,0,5,2,366,359,0,5,2,355,11,1100,732,24,93,186,26,10,16
4,BACĂU,"COLEGIUL NAŢIONAL ”GRIGORE C.MOISIL”",143,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:33:43",1314,1306,0,5,3,530,523,0,5,2,514,16,1500,970,76,136,228,39,9,26
4,BACĂU,"COLEGIUL NAŢIONAL ”GRIGORE C.MOISIL”",144,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:14:44",1007,993,3,9,2,362,351,0,9,2,335,27,1100,738,37,105,168,21,2,2
4,BACĂU,"COLEGIUL NAȚIONAL ”GRIGORE C.MOISIL”",147,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:16:56",1343,1322,0,8,13,542,521,0,8,13,538,4,1500,958,35,230,182,37,33,21
4,BACĂU,"COLEGIUL TEHNIC ”GHEORGHE ASACHI”",175,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:18:33",1153,1148,0,5,0,428,423,0,5,0,422,6,1300,872,57,96,206,35,20,8
4,BACĂU,"COLEGIUL TEHNIC ”GHEORGHE ASACHI”",174,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:56:20",1328,1324,0,4,0,508,504,0,4,0,489,19,1500,992,39,115,244,46,20,25
4,BACĂU,"COLEGIU NAŢIONAL ”DIMITRIE CANTEMIR”",168,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:46:48",1308,1301,1,5,1,499,493,0,5,1,492,7,1400,901,52,122,239,49,17,13
