precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
17,DOLJ,"GRADINITA ZĂNOAGA",388,LEU,72926,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:34:44",892,879,2,9,2,527,516,0,9,2,502,25,1000,473,28,192,141,123,18
17,DOLJ,"ȘCOALA GIMNAZIALĂ „ N.B. LOCUSTEANU ” - SALA A",386,LEU,72926,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:45:39",1382,1348,2,29,3,805,773,0,29,3,766,39,1473,668,130,342,230,46,18
17,DOLJ,"ȘCOALA GIMNAZIALĂ „N.B. LOCUSTEANU” - SALA B",387,LEU,72926,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:18:23",1495,1468,0,25,2,899,872,0,25,2,844,53,1600,693,107,390,274,61,12
