precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NEDELCIOIU MIHAI-PARTIDUL SOCIAL DEMOCRAT-voturi","NEACŞU GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","COMAN CORNEL-voturi"
16,DÂMBOVIŢA,"CAMINUL CULTURAL PIETRARI",334,PIETRARI,179908,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:54:19",1410,1389,0,18,3,1003,982,0,18,3,967,36,1534,531,368,210,389
16,DÂMBOVIŢA,"GRĂDINIȚA CU PROGRAM NORMAL VALEA",335,PIETRARI,179908,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:04:05",522,519,0,1,2,372,369,0,1,2,359,13,570,198,168,22,169
