precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BRĂCACIU RADIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","SANDU DANIEL-MIHAIL-PARTIDUL SOCIAL DEMOCRAT-voturi","DIMACHE ANDREI-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
9,BRĂILA,"ŞCOALA CU CLASELE I - VIII BĂRĂGANUL",160,BĂRĂGANUL,42824,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:52:36",1186,1153,0,10,23,687,654,0,10,23,671,16,1289,602,238,415,18
9,BRĂILA,"SCOALA CU CLS. I - VIII BĂRĂGANUL - SALA DE CLASĂ NR. 1",161,BĂRĂGANUL,42824,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:34:16",1265,1215,0,8,42,811,761,0,8,42,800,11,1300,489,276,511,13
