precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FORȚA DREPTEI-voturi"
18,GALAŢI,"CĂMINUL CULTURAL CUCA",278,CUCA,76139,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:51:35",865,833,0,10,22,546,514,0,10,22,523,23,939,393,155,255,23,90
18,GALAŢI,"ŞCOALA GIMNAZIALĂ ”SF. GHEORGHE ” CUCA",279,CUCA,76139,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:59:33",823,785,0,14,24,487,449,0,14,24,473,14,883,396,146,230,26,71
