precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","TAMAŞ GHEORGHE-voturi"
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL CIREȘA",155,"ORAŞ OŢELU ROŞU",51207,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:00:49",652,641,0,0,11,326,315,0,0,11,312,7,707,381,206,31,34,36,5
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL MAL",156,"ORAŞ OŢELU ROŞU",51207,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:10:35",299,287,2,9,1,203,193,0,9,1,199,4,320,117,164,15,13,7,0
11,CARAŞ-SEVERIN,"CANTINA DE AJUTOR SOCIAL",149,"ORAŞ OŢELU ROŞU",51207,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:22:49",885,831,0,16,38,406,352,0,16,38,383,23,930,524,236,22,51,62,12
11,CARAŞ-SEVERIN,"CASA DE CULTURĂ",145,"ORAŞ OŢELU ROŞU",51207,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:32:18",887,875,0,9,3,341,329,0,9,3,320,21,967,626,170,42,37,64,7
11,CARAŞ-SEVERIN,"CASA DE CULTURĂ",146,"ORAŞ OŢELU ROŞU",51207,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:16:04",704,699,0,5,0,291,286,0,5,0,278,13,773,482,187,25,31,27,8
11,CARAŞ-SEVERIN,"GRĂDINIŢA CU PROGRAM NORMAL GAI",151,"ORAŞ OŢELU ROŞU",51207,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:08:24",1123,1114,2,2,5,483,475,1,2,5,465,18,1230,747,280,35,59,82,9
11,CARAŞ-SEVERIN,"GRĂDINIȚA CU PROGRAM NORMAL NR.2",150,"ORAŞ OŢELU ROŞU",51207,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:19:48",1132,1121,3,1,7,511,503,0,1,7,495,16,1245,734,275,51,86,67,16
11,CARAŞ-SEVERIN,"GRĂDINIŢA CU PROGRAM NORMAL VALEA OHĂBII",152,"ORAŞ OŢELU ROŞU",51207,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:01:47",532,520,1,7,4,250,239,0,7,4,244,6,573,323,120,36,43,39,6
11,CARAŞ-SEVERIN,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 3",148,"ORAŞ OŢELU ROŞU",51207,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:08:44",1050,1036,2,10,2,394,381,1,10,2,384,10,1139,745,220,40,61,60,3
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR.1 OȚELU ROȘU - SALA DE SPORT",153,"ORAŞ OŢELU ROŞU",51207,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 01:38:04",336,327,0,8,1,137,128,0,8,1,135,2,361,224,85,17,13,17,3
11,CARAŞ-SEVERIN,"SCOALA GIMNZIALĂ NR. 3",147,"ORAŞ OŢELU ROŞU",51207,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:12:19",1225,1212,0,7,6,443,430,0,7,6,429,14,1319,876,257,41,57,68,6
11,CARAŞ-SEVERIN,"S.C. ”ROMFLEX” S.A.",154,"ORAŞ OŢELU ROŞU",51207,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:53:47",1156,1146,1,9,0,463,454,0,9,0,433,30,1267,804,236,126,31,28,12
