precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GĂLBINAŞU NICUŞOR-IONUŢ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DOBRESCU VASILICA-PARTIDUL NAȚIONAL LIBERAL-voturi","SURDU DORIN-GEORGE-PARTIDUL SOCIAL DEMOCRAT-voturi","ALEXANDRU CAMELIA-NARCISA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
12,CĂLĂRAŞI,"ȘCOALA CU CLASELE I-IV COADELE",195,RADOVANU,104751,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:29:34",944,873,0,43,28,648,577,0,43,28,634,14,991,343,183,329,110,12
12,CĂLĂRAŞI,"ȘCOALA CU CLASELE I-IV VALEA POPII",196,RADOVANU,104751,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:02:07",419,390,0,14,15,315,286,0,14,15,302,13,431,116,88,175,35,4
12,CĂLĂRAŞI,"ȘCOALA GIMNAZIALĂ ”DIMITRIE ION GHICA ”",193,RADOVANU,104751,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:20:29",917,842,0,31,44,683,608,0,31,44,667,16,975,292,229,390,41,7
12,CĂLĂRAŞI,"ȘCOALA GIMNAZIALĂ ”DIMITRIE ION GHICA ”",194,RADOVANU,104751,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:58:31",872,759,1,57,55,642,529,1,57,55,629,13,943,301,169,385,70,5
