precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"HOINOIU CLAUDIU-DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","POP NICOLINA-PARTIDUL NAȚIONAL LIBERAL-voturi","DUNCA NICOLAE-PARTIDUL SOCIAL DEMOCRAT-voturi","BOTGROS ILIE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
22,HUNEDOARA,"SCOALA GIMNAZIALA ISCRONI",187,"ORAŞ ANINOASA",87219,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:22:32",1268,1262,0,3,3,541,535,0,3,3,514,27,1416,875,119,94,252,49
22,HUNEDOARA,"SCOALA GIMNAZIALA ”SF. VARVARA” ANINOASA",185,"ORAŞ ANINOASA",87219,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:59:57",1434,1423,0,7,4,645,634,0,7,4,615,29,1484,840,22,120,418,55
22,HUNEDOARA,"STADIONUL ”MINERUL ANINOASA”",186,"ORAŞ ANINOASA",87219,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:37:18",844,840,1,2,1,405,401,1,2,1,388,13,1000,599,33,65,229,61
