precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PATRIOȚILOR-voturi","FORȚA DREPTEI-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
26,MARAMUREŞ,PRIMĂRIA,404,SĂCEL,108874,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:11:00",1396,1323,1,24,48,928,855,1,24,48,894,34,1500,172,213,82,132,92,86,69,24,79,56,21,40
26,MARAMUREŞ,"ŞCOALA VALEA CARELOR",405,SĂCEL,108874,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:26:18",903,816,0,55,32,903,816,0,55,32,843,28,1442,571,218,133,130,62,39,30,43,60,62,37,29
