precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL OAMENILOR TINERI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL PATRIOȚILOR-voturi","DINCĂ TUDOR-voturi"
34,SIBIU,"AUTOGARA MEDIAŞ",126,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:37:09",1170,1154,3,9,4,459,446,0,9,4,447,12,1250,791,23,87,27,62,8,50,5,12,7,130,36
34,SIBIU,"CASA DE OASPETI",137,"MUNICIPIUL MEDIAŞ",143619,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:35:06",760,747,5,7,1,327,319,0,7,1,319,8,965,638,13,93,15,46,13,25,6,3,0,93,12
34,SIBIU,"CENTRU ŞCOLAR DE EDUCAŢIE INCLUZIVĂ MEDIAŞ",116,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:57:55",1106,1095,2,7,2,527,518,0,7,2,514,13,1265,738,24,175,35,59,7,43,6,2,1,151,11
34,SIBIU,"CLUBUL COPIILOR",115,"MUNICIPIUL MEDIAŞ",143619,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:49:25",1006,992,3,8,3,459,448,0,8,3,445,12,1000,543,32,153,32,46,15,35,3,2,8,107,12
34,SIBIU,"COLEGIUL ”ŞCOALA NAŢIONALĂ DE GAZ”",136,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:43:40",1071,1062,3,6,0,431,425,0,6,0,420,11,1150,719,23,128,24,48,11,29,5,1,5,100,46
34,SIBIU,"COMPLEX COMERCIAL",134,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:09:31",1251,1243,0,8,0,573,565,0,8,0,563,10,1300,727,46,146,42,70,7,70,5,3,10,142,22
34,SIBIU,"CREŞA NR.3",129,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:12:45",1149,1140,3,6,0,497,491,0,6,0,470,27,1250,753,24,152,27,78,22,41,7,2,5,91,21
34,SIBIU,"GRĂDINIŢA CU PROGRAM PRELUNGIT BUCURIA COPIILOR",111,"MUNICIPIUL MEDIAŞ",143619,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:18:52",1099,1089,6,4,0,489,485,0,4,0,476,13,1200,711,38,141,31,73,24,43,8,3,8,103,4
34,SIBIU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.12",109,"MUNICIPIUL MEDIAŞ",143619,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:08:31",1015,1003,1,7,4,386,375,0,7,4,377,9,1100,714,19,84,30,45,19,28,7,2,6,122,15
34,SIBIU,"GRĂDINIŢA CU PROGRAM PRELUNGIT PINOCCHIO",140,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:59:55",1177,1166,2,5,4,463,454,0,5,4,454,9,1350,887,44,111,25,55,10,47,6,2,7,140,7
