precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
28,MUREŞ,"FOSTUL SEDIU AL POSTEI ROMANE",481,PETELEA,118799,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:46:58",1127,1110,2,3,12,593,578,0,3,12,519,74,1237,644,72,367,27,23,18,12
28,MUREŞ,"SCOALA PRIMARA HABIC",483,PETELEA,118799,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:34:56",192,183,0,4,5,118,109,0,4,5,115,3,200,82,68,37,8,2,0,0
28,MUREŞ,"SEDIUL PRIMARIEI",482,PETELEA,118799,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:00:50",993,963,0,13,17,583,553,0,13,17,556,27,1043,460,151,214,89,57,11,34
