precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","KISS ILDIKO-voturi"
2,ARAD,"CONSILIUL LOCAL IRATOŞU",304,IRATOŞU,11352,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:56:46",1710,1593,7,44,66,1024,912,2,44,66,993,29,1770,748,160,37,360,346,83,7
2,ARAD,"ŞCOALA GIMNAZIALĂ VARIAŞU MARE",305,IRATOŞU,11352,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:03:31",439,424,0,9,6,246,231,0,9,6,239,7,470,224,52,10,63,58,3,53
2,ARAD,"ŞCOALA GIMNAZIALĂ VARIAŞU MIC",306,IRATOŞU,11352,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 01:36:08",63,52,0,11,0,63,52,0,11,0,60,3,102,39,10,3,14,21,2,10
