precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MARTONCĂ EUSEBIU-PARTIDUL SOCIAL DEMOCRAT-voturi","GRUMĂZESCU VASILE-UNIUNEA SALVAȚI ROMÂNIA-voturi","DOBOŞ PETRE-PARTIDUL NAȚIONAL LIBERAL-voturi"
24,IAŞI,"SCOALA IZVOARELE",612,RĂCHITENI,100335,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:32:21",1152,1115,0,9,28,533,496,0,9,28,512,21,1300,767,333,12,167
24,IAŞI,"SCOALA NOUA RACHITENI",611,RĂCHITENI,100335,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:59:18",1597,1563,0,5,29,721,687,0,5,29,698,23,1679,958,150,34,514
