precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MIKE GABRIELLA-PARTIDUL SOCIAL DEMOCRAT-voturi","FLOROIAN STELIAN-OLIMPIU-PARTIDUL NAȚIONAL LIBERAL-voturi","POPA MARIUS-CĂTĂLIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","POGORAN DUMITRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TAMÁS SÁNDOR-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","FAZAKAS PÉTER-ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","NAGY GÁBOR-LEVENTE-FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-voturi"
15,COVASNA,"PRIMĂRIA MICFALĂU (CONSILIUL LOCAL MICFALĂU)",163,MICFALĂU,65139,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:03:28",1438,1425,6,3,4,744,737,0,3,4,715,29,1587,843,11,5,2,6,671,10,10
15,COVASNA,"PRIMĂRIA ORAŞULUI BARAOLT",66,"ORAŞ BARAOLT",63447,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:15:18",1102,1092,1,4,5,475,466,0,4,5,440,35,1200,725,13,4,4,5,312,47,55
15,COVASNA,"PRIMĂRIA SITA BUZĂULUI",188,"SITA BUZĂULUI",63688,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:25:05",1223,1212,0,8,3,730,719,0,8,3,695,35,1284,554,143,347,41,153,10,1,0
15,COVASNA,"SALA DE ȘEDINȚĂ A CONSILIULUI LOCAL BRATEȘ",112,BRATEŞ,64005,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:12:56",463,445,1,2,15,284,267,0,2,15,282,2,466,182,0,0,4,1,274,1,2
15,COVASNA,"SALA DE SPORT",17,"MUNICIPIUL SFÂNTU GHEORGHE",63394,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:37:53",1354,1301,19,11,23,844,811,1,11,21,822,22,1500,656,15,16,20,6,711,26,28
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”ADY ENDRE”",42,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:47:49",736,726,1,4,5,276,267,0,4,5,271,5,800,524,29,21,18,32,166,2,3
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”ADY ENDRE”",44,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:59:36",1312,1302,0,5,5,541,531,0,5,5,512,29,1500,959,40,13,32,30,366,17,14
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”ADY ENDRE”",43,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:20:26",859,841,2,8,8,300,292,0,0,8,294,6,900,600,35,25,31,12,182,3,6
15,COVASNA,"ȘCOALA GIMNAZIALĂ ”ANDREI ȘAGUNA” BARCANI",93,BARCANI,63633,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:53:10",980,971,0,0,9,688,679,0,0,9,652,36,1066,378,122,356,81,76,16,1,0
15,COVASNA,"ȘCOALA GIMNAZIALĂ ”ANDREI ȘAGUNA” BARCANI",94,BARCANI,63633,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 17:32:39",996,990,0,2,4,623,617,0,2,4,576,47,1090,467,70,381,42,79,3,1,0
15,COVASNA,"ȘCOALA GIMNAZIALĂ ”AVRAM IANCU”-COVASNA- GIM",81,"ORAŞ COVASNA",63526,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 18:23:44",1089,1079,1,4,5,523,514,0,4,5,479,44,1200,677,200,108,54,74,43,0,0
15,COVASNA,"ȘCOALA GIMNAZIALĂ ”AVRAM IANCU”- COVASNA -PRI.",80,"ORAŞ COVASNA",63526,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-14 11:47:35",1288,1271,3,9,5,597,583,0,9,5,524,73,1400,803,116,105,47,46,205,0,5
15,COVASNA,"ŞCOALA GIMNAZIALĂ BĂCEL",134,CHICHIŞ,64238,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:14:44",439,431,1,7,0,190,183,0,7,0,177,13,500,310,66,29,13,49,19,1,0
15,COVASNA,"ȘCOALA GIMNAZIALĂ ”BARTHA KÁROLY”",107,"BOROŞNEU MARE",63937,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:14:34",1320,1256,1,49,14,606,542,1,49,14,589,17,1343,737,154,8,3,12,407,3,2
15,COVASNA,"ŞCOALA GIMNAZIALĂ GAÁL MÓZES BARAOLT",68,"ORAŞ BARAOLT",63447,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 11:39:22",1183,1176,1,6,0,599,593,0,6,0,565,34,1300,701,8,10,5,15,412,52,63
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”GÖDRI FERENC”",26,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:47:13",1225,1204,2,13,6,426,407,0,13,6,416,10,1400,974,29,10,14,16,326,9,12
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”JANCSÓ BENEDEK” GHELINŢA",143,GHELINŢA,64318,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 16:09:48",1460,1390,1,4,65,820,751,0,4,65,795,25,1568,748,9,2,2,8,726,26,22
