precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DUMITRESCU BOGDAN-ALEXANDRU-PARTIDUL NAȚIONAL LIBERAL-voturi","TELELEU FLORIAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ TĂTĂRĂȘTII DE SUS",304,"TĂTĂRĂŞTII DE SUS",154665,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:06:09",1044,962,1,40,41,734,653,0,40,41,717,17,1097,363,418,299
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ TĂTĂRĂȘTII DE SUS",305,"TĂTĂRĂŞTII DE SUS",154665,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:02:36",1158,1070,0,59,29,1158,1070,0,59,29,754,14,1200,432,540,214
