precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CONDEESCU ROMULUS-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","COSTIC SORIN-SERGIU-PARTIDUL SOCIAL DEMOCRAT-voturi","GOŞA ION-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","CAPSALI ADRIAN-LEONIDA-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
37,TIMIŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT DUDEȘTII NOI",379,"DUDEŞTII NOI",159384,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:57:25",1548,1513,3,26,6,878,845,1,26,6,861,17,1623,745,32,346,416,67
37,TIMIŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT DUDEȘTII NOI",380,"DUDEŞTII NOI",159384,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:47:51",1658,1606,1,36,15,981,930,0,36,15,970,11,1800,819,32,417,453,68
