precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BARABOI IONEL-PARTIDUL SOCIAL DEMOCRAT-voturi","POPA-ROŞU RODICA-PARTIDUL NAȚIONAL LIBERAL-voturi","ANTON VASILE-FLORIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","CARP LOREDANA-ELENA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","LĂCĂTUŞU MIHAI-PARTIDUL MIȘCAREA POPULARĂ-voturi"
24,IAŞI,"LICEUL TEHNOLOGIC DUMITRU POPA - MOGOȘEȘTI",564,MOGOŞEŞTI,98113,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:49:25",1029,1023,1,5,0,512,507,0,5,0,491,21,1100,588,252,199,15,24,1
24,IAŞI,"LICEUL TEHNOLOGIC DUMITRU POPA - MOGOȘEȘTI",563,MOGOŞEŞTI,98113,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:25:36",1367,1360,1,3,3,711,705,0,3,3,676,35,1500,789,374,247,33,13,9
24,IAŞI,"ȘCOALA GIMNAZIALĂ HADÂMBU",566,MOGOŞEŞTI,98113,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:39:18",834,825,0,9,0,383,374,0,9,0,343,40,900,517,69,220,9,14,31
24,IAŞI,"ŞCOALA GIMNAZIALĂ MÎNJEȘTI, CORP CLĂDIRE NR. 2",567,MOGOŞEŞTI,98113,2,PART,PRCNCT,P,P_SV,"2024-06-10 02:19:02",507,501,0,6,0,285,279,0,6,0,275,10,500,215,162,97,7,4,5
24,IAŞI,"ȘCOALA PRIMARĂ BUDEȘTI",565,MOGOŞEŞTI,98113,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:39:13",336,329,1,6,0,164,157,1,6,0,155,9,400,236,99,48,3,4,1
