precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SOARE IONUŢ-VIOREL-PARTIDUL NAȚIONAL LIBERAL-voturi","ENACHE MARIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VIŞAN PAUL-ALIANȚA ELECTORALĂ PSD-PUSL-voturi","FLORESCU MARIANA-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PAPAINOG GABRIEL-FORȚA DREPTEI-voturi","DINU MARIAN-ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi"
31,PRAHOVA,"SCOALA GIMNAZIALA, COMUNA COLCEAG PJ",383,COLCEAG,132752,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:49:09",1072,1046,0,13,13,1072,1046,0,13,13,565,24,1200,611,385,8,146,13,3,10
31,PRAHOVA,"SCOALA GIMNAZIALA INOTESTI-COLCEAG-STRUCTURA",384,COLCEAG,132752,1,PART,PRCNCT,P,P_SV,"2024-06-10 19:00:12",1360,1340,0,8,12,799,779,0,8,12,767,32,1396,597,159,61,421,68,53,5
31,PRAHOVA,"SCOALA GIMNAZIALA PAREPA-RUSANI-COLCEAG-STRUCTURA",385,COLCEAG,132752,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:23:18",782,769,1,4,8,413,400,1,4,8,398,15,900,468,193,37,138,20,8,2
31,PRAHOVA,"SCOALA PRIMARA VILCELELE - COLCEAG - STRUCTURA",386,COLCEAG,132752,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:20:11",436,428,0,5,3,245,237,0,5,3,226,19,500,255,105,6,108,0,7,0
