precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL RENAŞTERII ŞI DEZVOLTĂRII MARAMUREŞULUI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL ROMÂNIA - ECHITATE, COMUNITATE, ONESTITATE-voturi","FORȚA DREPTEI-voturi"
26,MARAMUREŞ,"COLEGIUL NAȚIONAL „DRAGOȘ VODĂ”",96,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:49:08",808,803,2,3,0,338,335,0,3,0,328,10,1000,662,14,32,139,9,30,45,17,10,5,19,8
26,MARAMUREŞ,"COLEGIUL NAȚIONAL „DRAGOȘ VODĂ”",97,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:43:10",1427,1412,3,12,0,525,513,0,12,0,507,18,1600,1075,8,84,160,14,93,83,21,24,4,12,4
26,MARAMUREŞ,"COLEGIUL NAȚIONAL „DRAGOȘ VODĂ”",95,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:48:06",885,874,2,6,3,350,341,0,6,3,335,15,1000,650,18,23,143,34,35,43,19,7,3,6,4
26,MARAMUREŞ,"GRĂDINIȚA NR. 1",111,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 14:37:16",825,816,0,9,0,301,292,0,9,0,293,8,1000,629,5,31,99,24,27,75,7,7,5,7,6
26,MARAMUREŞ,"GRĂDINIȚA NR. 1",110,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:24:30",984,970,1,13,0,397,384,0,13,0,384,13,1000,603,10,62,140,18,54,59,8,15,8,2,8
26,MARAMUREŞ,"GRĂDINIȚA NR. 12",90,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:07:15",1434,1421,2,9,2,499,488,0,9,2,470,29,1600,1101,10,74,155,20,62,78,10,23,5,15,18
26,MARAMUREŞ,"GRĂDINIȚA NR. 9",101,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:36:06",1511,1505,2,4,0,640,636,0,4,0,624,16,1600,960,15,79,208,32,118,103,12,17,5,15,20
26,MARAMUREŞ,"LICEUL „REGELE FERDINAND”",93,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:18:44",267,258,0,9,0,267,258,0,9,0,260,7,920,653,4,51,96,9,19,55,2,14,3,5,2
26,MARAMUREŞ,"LICEUL „REGELE FERDINAND”",94,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:51:43",1076,1040,1,3,32,472,437,0,3,32,459,13,1200,728,20,68,193,21,41,79,7,13,5,5,7
26,MARAMUREŞ,"LICEUL „TARAS SEVCENCO”",98,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:13:11",1227,1212,1,12,2,449,435,0,12,2,431,18,1400,951,12,44,110,22,124,67,10,17,4,17,4
26,MARAMUREŞ,"LICEUL „TARAS SEVCENCO”",99,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:46:26",1197,1180,5,10,2,457,445,0,10,2,448,9,1300,843,7,54,141,20,78,74,21,19,10,15,9
26,MARAMUREŞ,"LICEUL TEHNOLOGIC FORESTIER",105,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:27:57",1096,1087,2,6,1,439,433,0,6,0,425,14,1200,761,12,50,169,30,58,50,11,15,4,17,9
26,MARAMUREŞ,"LICEUL TEHNOLOGIC FORESTIER",104,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:55:33",815,808,0,5,2,326,319,0,5,2,312,14,900,574,14,26,130,25,32,58,6,12,1,5,3
26,MARAMUREŞ,"SALA POLIVALENTĂ",112,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:09:54",985,975,1,6,3,386,377,0,6,3,378,8,1000,614,8,63,156,16,26,52,9,16,6,18,8
26,MARAMUREŞ,"SALA POLIVALENTĂ",113,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:53:12",782,774,0,7,1,284,276,0,7,1,272,12,850,566,2,27,112,13,34,41,5,12,7,10,9
26,MARAMUREŞ,"SALA POLIVALENTĂ",114,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 11:50:38",1865,1860,0,4,1,750,746,0,3,1,725,25,2000,1250,27,125,338,28,33,94,13,26,9,9,23
26,MARAMUREŞ,"ȘCOALA GENERALĂ NR. 1",88,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:43:45",1422,1414,0,8,0,528,520,0,8,0,508,20,1600,1072,7,101,193,5,4,145,5,11,8,13,16
26,MARAMUREŞ,"ȘCOALA GENERALĂ NR. 10",109,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:35:36",911,906,1,4,0,291,287,0,4,0,282,9,1000,709,7,48,106,8,20,61,4,13,3,3,9
26,MARAMUREŞ,"ȘCOALA GENERALĂ NR. 10",108,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:08:03",791,780,4,7,0,284,277,0,7,0,271,11,900,616,3,41,106,11,38,31,5,19,7,5,5
26,MARAMUREŞ,"ȘCOALA GENERALĂ NR. 10",107,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:04:33",1313,1301,4,8,0,473,465,0,8,0,453,20,1400,927,12,78,154,17,44,56,16,32,11,20,13
26,MARAMUREŞ,"ȘCOALA GENERALĂ NR. 11",89,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:12:15",1119,1108,7,4,0,465,461,0,4,0,440,25,1200,735,9,84,160,30,43,78,7,14,2,10,3
26,MARAMUREŞ,"ȘCOALA GENERALĂ NR. 2",100,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:33:11",1394,1374,11,6,3,560,551,0,6,3,541,19,1600,1039,5,49,168,32,125,83,26,17,9,17,10
26,MARAMUREŞ,"ȘCOALA GENERALĂ NR. 5",116,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:46:50",1395,1387,0,8,0,535,527,0,8,0,516,19,1600,1065,17,106,202,22,6,97,9,25,15,3,14
26,MARAMUREŞ,"ȘCOALA GENERALĂ NR. 5",115,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 12:09:21",1284,1274,0,10,0,547,537,0,10,0,523,20,1400,857,35,94,194,14,11,89,5,20,22,15,24
26,MARAMUREŞ,"ȘCOALA GENERALĂ NR. 6",106,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:00:42",1840,1834,1,3,2,691,686,0,3,2,661,25,2000,1314,35,147,188,34,67,102,17,32,4,17,18
26,MARAMUREŞ,"ȘCOALA GENERALĂ NR. 7",117,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:05:02",800,793,1,6,0,295,289,0,6,0,284,11,850,555,5,66,77,5,2,114,5,1,3,2,4
26,MARAMUREŞ,"ȘCOALA GENERALĂ NR. 8",87,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:20:30",1068,1059,0,7,2,430,421,0,7,2,403,27,1200,770,15,69,192,7,3,79,1,20,4,12,1
26,MARAMUREŞ,"ȘCOALA GENERALĂ NR. 9",103,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:05:00",1085,1080,0,5,0,353,348,0,5,0,338,15,1200,847,10,42,120,33,45,35,9,18,4,9,13
26,MARAMUREŞ,"ȘCOALA GENERALĂ NR. 9",102,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:52:03",1163,1151,5,7,0,475,468,0,7,0,451,17,1200,732,12,63,139,39,52,61,23,31,12,10,9
