precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL PATRIOȚII POPORULUI ROMÂN-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
5,BIHOR,"AFTER SCHOOL",525,ROŞIA,30844,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:01:49",492,478,0,3,11,390,376,0,3,11,382,8,537,147,1,84,16,273,0,1,5,0,2
5,BIHOR,"BLOC PARTER",152,"MUNICIPIUL BEIUŞ",26804,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:04:57",1134,1112,2,18,2,700,680,0,18,2,680,13,1263,564,28,137,40,439,32,0,0,1,3
5,BIHOR,"BLOCURILE ANL",145,"MUNICIPIUL ORADEA",26564,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:41:11",1785,1779,0,5,1,899,893,0,5,1,881,18,1942,1043,55,65,42,674,20,3,12,4,6
5,BIHOR,"CAMIN CULTURAL",616,TĂRCAIA,31609,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:58:43",365,316,0,40,9,311,262,0,40,9,299,9,360,35,3,179,5,95,15,0,2,0,0
5,BIHOR,"CAMIN CULTURAL",571,SÂRBI,31128,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:52:05",720,603,0,95,22,546,429,0,95,22,533,10,663,116,1,223,14,289,4,0,2,0,0
5,BIHOR,"CAMIN CULTURAL",617,TĂRCAIA,31609,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:25:32",222,205,0,8,9,192,175,0,8,9,189,3,239,47,5,58,15,102,5,0,2,1,1
5,BIHOR,"CAMIN CULTURAL",569,SÂRBI,31128,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:33:19",991,809,1,150,31,772,591,0,150,31,742,23,888,123,3,261,44,423,0,0,8,0,3
5,BIHOR,"CAMIN CULTURAL",560,"SÂNNICOLAU ROMÂN",32179,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:00:05",1078,972,1,95,10,821,716,0,95,10,786,33,1072,253,10,154,31,567,9,1,8,0,6
5,BIHOR,"CAMIN CULTURAL",582,"SUPLACU DE BARCĂU",31262,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:55:33",728,707,0,7,14,510,489,0,7,14,470,40,804,294,17,211,46,181,4,0,7,1,3
5,BIHOR,"CĂMIN CULTURAL",627,TILEAGD,31716,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:10:50",342,336,0,5,1,163,157,0,5,1,150,13,366,203,63,15,10,58,0,0,4,0,0
